日期,数据集,实际均价,正式模型预测均价,实验模型预测均价,正式模型MAPE,实验模型MAPE
2025-10-10,训练集,0.55953194,0.72112793,0.70193765,0.53355625,0.45109888
2025-10-11,训练集,0.58455139,0.58895587,0.59439665,0.09203190,0.08364736
2025-10-12,训练集,0.76634375,0.64224047,0.68560788,0.17256522,0.11534948
2025-10-13,验证集,0.76465139,0.74930414,0.76207371,0.06681190,0.05035176
2025-10-14,训练集,0.77306667,0.71284606,0.74041822,0.11738401,0.07277565
2025-10-15,测试集,0.77605556,0.75367958,0.75281953,0.06831973,0.05733887
2025-10-16,训练集,0.78222083,0.71448061,0.72059121,0.12343778,0.09339848
2025-10-17,训练集,0.58880625,0.72761727,0.69630920,0.29444014,0.22176806
2025-10-18,训练集,0.58306806,0.63224414,0.62453431,0.14127304,0.10865484
2025-10-19,验证集,0.78936042,0.65774413,0.69253744,0.17112598,0.12583247
2025-10-20,训练集,0.78712708,0.69790664,0.72692100,0.14397868,0.09227970
2025-10-21,测试集,0.79530625,0.75721007,0.76060468,0.07166533,0.06237678
2025-10-22,训练集,0.79295069,0.70593146,0.71379198,0.14058294,0.10801448
2025-10-23,训练集,0.78133611,0.76166497,0.76895729,0.07018918,0.05713982
2025-10-24,训练集,0.59635833,0.72015438,0.68928164,0.27161613,0.19688913
2025-10-25,验证集,0.59850903,0.63872374,0.61505966,0.13802938,0.07991282
2025-10-26,训练集,0.78733056,0.71418143,0.71962252,0.12726094,0.09906262
2025-10-27,测试集,0.78289583,0.76109737,0.76806541,0.08045614,0.06084445
2025-10-28,训练集,0.79306667,0.72304253,0.72442620,0.12164310,0.09411274
2025-10-29,训练集,0.80695694,0.76364579,0.76331801,0.08492510,0.07030060
2025-10-30,训练集,0.79196042,0.77570009,0.77128441,0.06820075,0.05340759
2025-10-31,验证集,0.61773264,0.73237454,0.68113290,0.22564505,0.12473773
2025-11-01,训练集,0.60460347,0.72564488,0.67831713,0.27287655,0.15609001
2025-11-02,测试集,0.80224444,0.68468614,0.71427182,0.14828516,0.11366958
2025-11-03,训练集,0.80547083,0.73284380,0.74433736,0.12247502,0.09300553
2025-11-04,训练集,0.79758264,0.78284282,0.77850715,0.06674586,0.05537426
2025-11-05,训练集,0.80895556,0.78333813,0.78119469,0.05828969,0.05389208
2025-11-06,验证集,0.81506736,0.78951201,0.78263265,0.06307405,0.06394062
2025-11-07,训练集,0.61553403,0.73422675,0.69431611,0.27017106,0.16727143
2025-11-08,测试集,0.61734097,0.64910570,0.65171252,0.09895618,0.08468185
2025-11-09,训练集,0.81031736,0.74317070,0.75133751,0.11903848,0.08925912
2025-11-10,训练集,0.81897292,0.79831830,0.79474882,0.06742575,0.06368556
2025-11-11,训练集,0.81385903,0.80411696,0.79367091,0.05946379,0.05297645
2025-11-12,验证集,0.81239514,0.80535887,0.79899679,0.05582959,0.05109032
2025-11-13,训练集,0.81853611,0.76977097,0.77180105,0.09952887,0.07770661
2025-11-14,测试集,0.62907847,0.77546356,0.72940386,0.26559990,0.17803859
2025-11-15,训练集,0.62876806,0.75852277,0.72949257,0.25596691,0.18393622
2025-11-16,训练集,0.82057986,0.67238298,0.73563663,0.17518272,0.10530566
2025-11-17,训练集,0.81585486,0.80518015,0.79974838,0.05966104,0.05391743
2025-11-18,验证集,0.82191250,0.80223310,0.79634184,0.06612029,0.06265287
2025-11-19,训练集,0.82901389,0.77634250,0.78343562,0.10711763,0.07608397
2025-11-20,测试集,0.82117917,0.81516836,0.80233296,0.06282594,0.05606697
2025-11-21,训练集,0.63263403,0.76295668,0.73706703,0.25410097,0.19127869
2025-11-22,训练集,0.63667500,0.65692229,0.67187823,0.09209139,0.09224741
2025-11-23,训练集,0.82649444,0.69442280,0.74869032,0.16134700,0.09909839
2025-11-24,验证集,0.82105069,0.80398794,0.80274530,0.06382412,0.05123660
2025-11-25,训练集,0.82412431,0.75966378,0.77720389,0.11004870,0.07516879
2025-11-26,测试集,0.82993403,0.80883719,0.80191139,0.07149679,0.05989463
2025-11-27,训练集,0.82856389,0.76756821,0.77631021,0.11004688,0.07943756
2025-11-28,训练集,0.63402431,0.77641183,0.73303596,0.26268712,0.18178748
2025-11-29,训练集,0.65043819,0.68020421,0.68416815,0.09511198,0.08562929
2025-11-30,验证集,0.83959931,0.72203798,0.76347809,0.14478794,0.09514911
