日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-07-29,0.04403362,0.05836095,5.43167530%,0.46282139,0.88462778,0.85988858
2025-07-30,0.07151792,0.08480926,8.70229663%,0.00000000,0.87969653,0.82085810
2025-07-31,0.04278270,0.05482963,5.35345566%,0.47077474,0.88143125,0.86115617
2025-08-01,0.12546211,0.14840821,24.39600997%,0.48127780,0.66639722,0.78837598
2025-08-02,0.05517144,0.07022172,13.15601393%,0.44197176,0.66218750,0.70439013
2025-08-03,0.04609993,0.06171196,6.21099550%,0.00000000,0.83336875,0.81952709
2025-08-04,0.03793741,0.04804131,5.35675450%,0.49705029,0.84478472,0.83968416
2025-08-05,0.05084100,0.06501709,6.91679077%,0.00000000,0.84459583,0.82001683
2025-08-06,0.04126755,0.05242896,5.34216617%,0.49086928,0.85774861,0.84357057
2025-08-07,0.04299699,0.05392865,6.33649163%,0.49469703,0.84110486,0.84818201
2025-08-08,0.11487944,0.13508701,28.32472121%,0.49376671,0.63795208,0.75209868
2025-08-09,0.11865229,0.14070683,24.20940164%,0.00000000,0.65297500,0.76627967
2025-08-10,0.08866062,0.10696689,10.84575191%,0.49120019,0.84869097,0.76148354
2025-08-11,0.05324960,0.06614981,7.15037955%,0.00000000,0.83962986,0.82479861
2025-08-12,0.04293885,0.05700865,5.53241661%,0.52518621,0.85737083,0.83311496
2025-08-13,0.03699025,0.04725053,4.96437089%,0.52703917,0.85316528,0.84908031
2025-08-14,0.04027854,0.05052715,5.67531049%,0.52987628,0.85012014,0.84635956
2025-08-15,0.11752826,0.14116474,26.71706940%,0.00000000,0.65121528,0.76397461
2025-08-16,0.05327946,0.06686964,12.97215826%,0.52884002,0.64734097,0.68921094
2025-08-17,0.05432767,0.06944462,7.31188626%,0.00000000,0.83990000,0.80800039
2025-08-18,0.04336664,0.05426299,6.16969689%,0.52759613,0.84756111,0.84498951
2025-08-19,0.03265441,0.04059230,4.45646181%,0.53097610,0.84291528,0.83790521
2025-08-20,0.04692068,0.05600783,5.93288616%,0.52941444,0.86634861,0.84274751
2025-08-21,0.05154032,0.06565377,6.93531754%,0.00000000,0.84720694,0.82815603
2025-08-22,0.10756943,0.12269149,22.79649781%,0.51089125,0.66047083,0.76633503
2025-08-23,0.11356246,0.13060368,24.26627592%,0.00000000,0.65919653,0.77270840
2025-08-24,0.08051470,0.09685969,9.91436802%,0.46671760,0.84102153,0.76210991
2025-08-25,0.04665704,0.06399488,5.92181550%,0.40532964,0.86015694,0.83033552
2025-08-26,0.03872828,0.04960909,5.83955675%,0.41371083,0.84441806,0.84312179
2025-08-27,0.06180425,0.07479201,7.82753516%,0.00000000,0.85338750,0.82436511
2025-08-28,0.05243615,0.07196963,6.73813074%,0.36856235,0.86350486,0.83356754
2025-08-29,0.10974083,0.12664592,21.38992411%,0.00000000,0.66450764,0.77230927
2025-08-30,0.06790062,0.08427781,15.45121857%,0.32841992,0.65466250,0.70700099
2025-08-31,0.08487133,0.10250689,10.65476256%,0.37867652,0.84653889,0.77038081
2025-09-01,0.08906937,0.12765532,11.74821908%,0.32419829,0.75173264,0.83285621
2025-09-02,0.08614502,0.11286928,11.75313939%,0.00000000,0.75399306,0.81218582
2025-09-03,0.05644435,0.07788376,7.68348203%,0.33609251,0.76099444,0.79149998
2025-09-04,0.07847414,0.10460826,10.97721921%,0.00000000,0.75699792,0.79830001
2025-09-05,0.16196613,0.18238565,33.82590391%,0.31386269,0.55864028,0.72054910
2025-09-06,0.09338994,0.11401131,24.20644192%,0.37504039,0.56571111,0.65493741
2025-09-07,0.06483456,0.08283884,9.22359306%,0.47677289,0.75931389,0.71680767
